titulo;categoria;macrocategoria;disponibles;precio_original;precio_oferta;porcentaje_descuento;autor;editorial;encuadernacion;peso_kg;largo;ancho;grosor;ano_edicion;paginas;descripcion;link;volumen
pack ildelfonso falcones (la catedral del mar - los herederos de la tierra);novela historica;literatura novela historica;10;29000,0;21750,0;0,25;falcones, ildefonso;debolsillo;pack;1,05;19,0;13,0;8,0;2025,0;1568,0;"PACK ILDELFONSO FALCONES (LA CATEDRAL DEL MAR – LOS HEREDEROS DE LA TIERRA)Una edición pack que reúne las dos primeras novelas de la saga «La catedral del mar», el mayor fenómeno literario de novela histórica de España.La catedral del marUna catedral construida por el pueblo y para el pueblo en la Barcelona medieval es el escenario de una apasionante historia de intriga, violencia y pasión.Siglo XIV. La ciudad de Barcelona se encuentra en su momento de mayor prosperidad; ha crecido hacia la Ribera, el humilde barrio de los pescadores, cuyos habitantes deciden construir, con el dinero de unos y el esfuerzo de otros, el mayor templo mariano jamás conocido: Santa María de la Mar. Una construcción que es paralela a la azarosa historia de Arnau, un siervo de la tierra que huye de los abusos de su señor feudal y se refugia en Barcelona, donde se convierte en ciudadano y, con ello, en hombre libre.El joven Arnau trabaja como palafrenero, estibador, soldado y cambista. Una vida extenuante, siempre al amparo de la catedral de la mar, que le iba a llevar de la miseria del fugitivo a la nobleza y la riqueza. Pero con esta posición privilegiada también le llega la envidia de sus pares, que urden una sórdida conjura que pone su vida en manos de la Inquisición…_________________Los herederos de la tierraUna espléndida y emocionante novela de lealtad, venganza, amor y sueños por cumplir.Barcelona, 1387. Las campanas de la iglesia de Santa María de la Mar siguen sonando para todos los habitantes del barrio de la Ribera, pero uno de ellos escucha su repique con especial atención… Hugo Llor, hijo de un marinero fallecido, a sus doce años trabaja en las atarazanas gracias a la generosidad de uno de los prohombres más apreciados de la ciudad: Arnau Estanyol. Pero sus sueños juveniles de convertirse en constructor de barcos se darán de bruces contra una realidad dura y despiadada cuando la familia Puig, enemiga acérrima de su mentor, aproveche su posición ante el nuevo rey para ejecutar una venganza que llevaba años acariciando.A partir de ese momento, la vida de Hugo oscila entre su lealtad a Bernat, amigo y único hijo de Arnau, y la necesidad de sobrevivir en una ciudad injusta con los pobres. Obligado a abandonar el barrio de la Ribera, busca trabajo junto a Mahir, un judío que le enseña los secretos del mundo del vino. Con él, entre viñedos, cubas y alambiques, el muchacho descubre la pasión por la tierra al tiempo que conoce a Dolça, la hermosa sobrina del judío, que se convertirá en su primer amor. Este sentimiento, prohibido por las costumbres y por la religión, será el que le proporcionará los momentos más dulces y amargos de su juventud.AdquieraPACK ILDELFONSO FALCONES (LA CATEDRAL DEL MAR – LOS HEREDEROS DE LA TIERRA)en nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.";https://feriachilenadellibro.cl/producto/9788466381963-pack-ildelfonso-falcones-la-catedral-del-mar-los-herederos-de-la-tierra/;1976,0
estuche archivo de las tormentas;narrativa fantastica;literatura narrativa fantastica;6;55000,0;41250,0;0,25;sanderson, brandon;b de bolsillo;pack;3,245;22,0;17,0;14,0;2023,0;3856,0;ESTUCHE ARCHIVO DE LAS TORMENTASUn magnífico estuche que reúne los tres primeros volúmenes de «El Archivo de las Tormentas»: El camino de los reyes, Palabras radiantes y Juramentada.El camino de los reyesHay cuatro personas a las que observamos. La primera es el médico, quien dejó de curar para convertirse en soldado durante la guerra más brutal de nuestro tiempo. La segunda es el asesino, un homicida que llora siempre que mata. La tercera es la mentirosa, una joven que viste un manto de erudita sobre un corazón de ladrona. Por último, está el alto príncipe, un guerrero que mira al pasado mientras languidece su sed de guerra.El mundo puede cambiar. La potenciación y el uso de las esquirlas pueden aparecer de nuevo, la magia de los días pasados puede volver a ser nuestra. Esas cuatro personas son la clave.Una de ellas nos redimirá. Y una de ellas nos destruirá._________________Palabras radiantesEl Corredor del Viento está perdido en una tierra quebrada, en equilibro entre la venganza y el honor. La Tejedora de Luz, lentamente consumida por su pasado, busca la mentira en la que debe convertirse. El Forjador de Vínculos, nacido en la sangre y la muerte, se esfuerza ahora por reconstruir lo que fue destruido. La Exploradora, a caballo entre los destinos de dos pueblos, se ve obligada a elegir entre una muerte lenta y una terrible traición a todo en lo que cree.Ya es hora de despertarlos, pues acecha la eterna tormenta. Y el asesino ha llegado._________________JuramentadaLa humanidad se enfrenta a una nueva Desolación con el regreso de los Portadores del Vacío, un enemigo tan grande en número como en sed de venganza. La victoria fugaz de los ejércitos alezi de Dalinar Kholin ha tenido consecuencias: el enemigo parshendi ha convocado la violenta tormenta eterna, que arrasa el mundo y hace que los hasta ahora pacíficos parshmenios descubran con horror que llevan un milenio esclavizados por los humanos. Al mismo tiempo, en una desesperada huida para alertar a su familia de la amenaza, Kaladin se pregunta si la repentina ira de los parshmenios está justificada.Entretanto, en la torre de la ciudad de Urithiru, a salvo de la tormenta, Shallan Davar investiga las maravillas de la antigua fortaleza de los Caballeros Radiantes y desentierra oscuros secretos que acechan en las profundidades. Dalinar descubre entonces que su sagrada misión de unificar su tierra natal de Alezkar era corta de miras. A menos que todas las naciones sean capaces de unirse y dejar de lado el pasado sangriento de Dalinar, ni siquiera la restauración de los Caballeros Radiantes conseguirá impedir el fin de la civilización.AdquieraESTUCHE ARCHIVO DE LAS TORMENTASen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9788413149615-estuche-archivo-de-las-tormentas/;5236,0
la casa de la arana;narrativa extranjera;literatura narrativa extranjera;1;16500,0;7600,0;0,54;bowles, paul;austral ediciones;rustico;0,34;19,0;12,5;2,5;2011,0;512,0;"LA CASA DE LA ARAÑATres personajes muy diferentes confluyen en la ciudad marroquí de Fez: John Stenham, escritor norteamericano defensor de la cultura autóctona frente al imperialismo francés; Polly Veyron, turista estadounidense que aboga por el desarrollo de lo que considera una ciudad tercermundista, y Amar, un joven marroquí que pasa del despertar político al desencanto. Con la lucha por la independencia de Marruecos como telón de fondo, Bowles retrata magníficamente la atmósfera de descontento e ilusiones de un país en busca de libertad.AdquieraLA CASA DE LA ARAÑAen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.";https://feriachilenadellibro.cl/producto/9788432248405-la-casa-de-la-arana/;593,75
extincion;narrativa extranjera;literatura narrativa extranjera;6;14000,0;10500,0;0,25;foster, david;debolsillo;rustico/bolsillo;0,296;23,0;13,6;2,0;2025,0;400,0;EXTINCIONUn arriesgado triunfo del maestro de la narrativa inteligenteDavid Foster Wallace reinventa una vez más el arte de la ficción.Los ocho relatos que componen Extinción forman un universo surrealista en el que conviven la realidad más prosaica con delirantes espirales de la conciencia humana. En “El alma no es una forja” las fantasías que un niño imagina mientras su profesor cae en un delirio homicida le sirven para hablar de la angustiosa soledad de su padre. “Extinción” nos presenta a un matrimonio que visita una clínica del sueño para tratar los ronquidos del marido, en lo que resultará ser un doloroso retrato del desamor. “El canal del sufrimiento” explica los inimaginables prodigios anatómicos que permiten a un escultor crear cotizadas miniaturas, reflejando el absurdo y la profundidad de la creatividad artística.Reseñas:«Uno de los mayores talentos de su generación, un escritor virtuoso que aparentemente es capaz de hacerlo todo.»The New York Times«Un arriesgado triunfo del maestro de la narrativa inteligente. Filósofo inquisitivo y habilidoso narrador, el autor de La broma infinita crea complejas historias repletas de cuestiones metafísicas y crítica social devastadora, todo ello con un peculiar sentido del humor.»Booklist«Wallace pertenece a la mejor clase de exhibicionista, un escritor que no se contenta con sus dones literarios… Es capaz de correr riesgos espléndidos, y cuando triunfa el resultado es una ficción extraordinaria y visionaria.»San Francisco ChronicleAdquieraEXTINCIONen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9786287745483-extincion/;625,6
peppa pig pizarra magica;libros infantiles;libros infantiles;3;16000,0;12800,0;0,2;vv. aa.;phidal publishing;tapa dura;0,595;33,5;22,0;1,0;2022,0;12,0;PEPPA PIG PIZARRA MAGICAAprende a escribir, dibujar letras, números y objetos, ¡todo en compañía de caras conocidas! La serie de aprendizaje ofrece una experiencia creativa que incluye una historia divertida, instrucciones paso a paso, un bolígrafo magnético y un bloc de dibujo magnético borrable que se puede usar una y otra vez.AdquieraPEPPA PIG PIZARRA MAGICAen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9782764347485-peppa-pig-pizarra-magica/;737,0
nick paw patrol diverti-libros;libros infantiles;libros infantiles;3;16000,0;12800,0;0,2;vv. aa.;planeta junior;caja;0,645;25,0;20,0;4,0;2019,0;12,0;NICK PAW PATROL DIVERTI-LIBROS¡Un kit de actividades con un libro de cuentos y un increíble juguete! Diverti-libros ofrece hermosas ilustraciones, una historia, 12 figuritas y una alfombra que dará vida a los personajes y encenderá la imaginación de los chicos.AdquieraNICK PAW PATROL DIVERTI-LIBROSen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9782764346013-nick-paw-patrol-diverti-libros/;2000,0
marvel spidey libro de calcomanias;libros infantiles;libros infantiles;3;8000,0;6400,0;0,2;vv. aa.;planeta junior;rustico;0,11;28,0;21,6;0,5;2024,0;12,0;MARVEL SPIDEY LIBRO DE CALCOMANIAS¡Únete al mundo de Spidey y sus sorprendentes amigos! ¡Con más de 50 calcomanías, este encantador libro de actividades te divertirá! Completa los juegos y las escenas y vuelve a utilizar tus calcomanías para crear tus propias aventuras. ¡Únete al mundo de Spidey y sus sorprendentes amigos! ¡Con más de 50 calcomanías, este encantador libro de actividades te divertirá! Completa los juegos y las escenas y vuelve a utilizar tus calcomanías para crear tus propias aventuras.AdquieraMARVEL SPIDEY LIBRO DE CALCOMANIASen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9782764379400-marvel-spidey-libro-de-calcomanias/;302,40000000000003
civiles y militares;historia politica de chile;politica;15;20900,0;16700,0;0,2;perez yoma, edmundo;critica;rustico;0,418;23,0;15,0;1,5;2025,0;288,0;CIVILES Y MILITARESCiviles y militares es un testimonio directo e inédito de los desafíos que enfrentó el gobierno de Eduardo Frei Ruiz-Tagle para manejar la relación cívico-militar en un periodo crucial para la democracia chilena. En sus páginas, el exministro Edmundo Pérez Yoma aborda a partir de su propia experiencia la consolidación de la democracia desde una perspectiva poco explorada: el rol del Ministerio de Defensa en la estabilización del país y la integración de las Fuerzas Armadas en el nuevo orden político, y explica cómo se logró la subordinación de los militares al poder civil después de la dictadura, algo fundamental para entender el actual equilibrio institucional en Chile. Desde la obediencia de Pinochet hasta la Mesa de Diálogo –pasando por episodios clave como la detención de Manuel “Mamo” Contreras–, el libro expone los conflictos, negociaciones y estrategias que marcaron una etapa de transición compleja. Con un enfoque accesible pero riguroso, Civiles y militares no solo reconstruye un periodo crucial de la historia reciente de Chile, sino que también ofrece lecciones valiosas sobre liderazgo, gobernabilidad y democracia.AdquieraCIVILES Y MILITARESen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9789569993732-civiles-y-militares/;517,5
buenas noches perrito;libros infantiles;libros infantiles;3;13000,0;10400,0;0,2;vv. aa.;planeta junior;rustico;0,3;20,4;20,4;1,5;2024,0;12,0;BUENAS NOCHES PERRITOBuenas noches dormilones. ¡Ya es hora de acostarse!Perrito está listo para irse a la cama, pero primero quiere decirles buenas noches a todos sus amigos. ¿Lo ayudas a encontrarlos?Inserta la linterna mágica entre las páginas para encontrar a los amigos de Perrito en cada escena.AdquieraBUENAS NOCHES PERRITOen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9789566232360-buenas-noches-perrito/;624,24
buenas noches gatita;libros infantiles;libros infantiles;3;13000,0;10400,0;0,2;vv. aa.;planeta junior;rustico;0,305;20,4;20,4;1,5;2024,0;12,0;BUENAS NOCHES GATITABuenas noches dormilones. ¡Ya es hora de acostarse!Gatita está lista para irse a la cama, pero primero quiere decirle buenas noches a todos sus amigos. ¿La ayudas a encontrarlos?Inserta la linterna mágica entre las páginas para encontrar a los amigos de Gatita en cada escena.AdquieraBUENAS NOCHES GATITAen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9789566232377-buenas-noches-gatita/;624,24
